timestamp,generation_ac_kw,generation_pred_kw
2020-05-22 11:00:00,22024.643392375,17772.345356911323
2020-05-22 12:00:00,23474.306250125,21699.231126751838
2020-05-22 13:00:00,22485.00074445,22410.209349097207
2020-05-22 14:00:00,21292.280356625,20705.366638761792
2020-05-22 15:00:00,13405.663392925,18954.728106687588
2020-05-22 16:00:00,5463.324553625,11941.251557295072
2020-05-22 17:00:00,2206.550000045,4952.042505024809
2020-05-22 18:00:00,209.00446428825,1680.7909630040087
2020-05-22 19:00:00,0.0,146.303125001775
2020-05-22 20:00:00,0.0,0.0
2020-05-22 21:00:00,0.0,0.0
2020-05-22 22:00:00,0.0,0.0
2020-05-22 23:00:00,0.0,0.0
2020-05-23 00:00:00,0.0,0.0
2020-05-23 01:00:00,0.0,0.0
2020-05-23 02:00:00,0.0,0.0
2020-05-23 03:00:00,0.0,0.0
2020-05-23 04:00:00,0.0,0.0
2020-05-23 05:00:00,0.0,0.0
2020-05-23 06:00:00,1419.49333332,357.6074115037412
2020-05-23 07:00:00,5404.6254465249995,2658.3905344805958
2020-05-23 08:00:00,14317.512500025001,7076.0504110465445
2020-05-23 09:00:00,18474.21607135,14703.948590093823
2020-05-23 10:00:00,19569.261160825,18557.31953987831
2020-05-23 11:00:00,26037.875892625,20006.979732031323
2020-05-23 12:00:00,25121.8383922,24508.49387692684
2020-05-23 13:00:00,25208.152678500002,23563.481848549705
2020-05-23 14:00:00,17793.86473235,22611.572992596793
2020-05-23 15:00:00,16103.974107125,16505.83716969509
2020-05-23 16:00:00,11821.058482225,13830.069057235072
2020-05-23 17:00:00,5242.64999995,9402.456255044808
2020-05-23 18:00:00,1021.16919644725,3806.060962937509
2020-05-23 19:00:00,0.0,714.818437513075
2020-05-23 20:00:00,0.0,0.0
2020-05-23 21:00:00,0.0,0.0
2020-05-23 22:00:00,0.0,0.0
2020-05-23 23:00:00,0.0,0.0
2020-05-24 00:00:00,0.0,0.0
2020-05-24 01:00:00,0.0,0.0
2020-05-24 02:00:00,0.0,0.0
2020-05-24 03:00:00,0.0,0.0
2020-05-24 04:00:00,0.0,0.0
2020-05-24 05:00:00,0.0,0.0
2020-05-24 06:00:00,1304.501785728,357.6074115037412
2020-05-24 07:00:00,6160.5107142,2577.8964511661957
2020-05-24 08:00:00,11964.18437495,7605.170098419045
2020-05-24 09:00:00,15553.22142865,13056.618902541326
2020-05-24 10:00:00,19757.70089295,16512.62328998831
2020-05-24 11:00:00,24207.755803725,20138.887544518824
2020-05-24 12:00:00,25845.58482125,23227.40981469684
2020-05-24 13:00:00,24292.331249825,24070.104348884706
2020-05-24 14:00:00,20013.441517975,21970.497992524295
2020-05-24 15:00:00,11661.825,18059.54091963259
2020-05-24 16:00:00,8487.37455355,10720.564682247574
2020-05-24 17:00:00,5102.262499949999,7068.877504972309
2020-05-24 18:00:00,603.7580357100001,3707.7897129375083
2020-05-24 19:00:00,0.0,422.63062499700004
2020-05-24 20:00:00,0.0,0.0
2020-05-24 21:00:00,0.0,0.0
2020-05-24 22:00:00,0.0,0.0
2020-05-24 23:00:00,0.0,0.0
2020-05-25 00:00:00,0.0,0.0
2020-05-25 01:00:00,0.0,0.0
2020-05-25 02:00:00,0.0,0.0
2020-05-25 03:00:00,0.0,0.0
